title,url,source_name,date_found
Serbia's students plan major rally after issuing 'ultimatum' - DW,https://news.google.com/rss/articles/CBMilAFBVV95cUxPTUNEczRfcmJoVmpFY2hHSFFOMnlsZkNfdWl3ZFl0QXY0UTJ3MDZ5WTViMFExV3plUGtTRVR2N1lIOGl6LVBZdXM1ZjRkbFh5MEk1ZHliUjE1VzgwckFzcklKXzdiQkxtWm9oY21oX0ZzUngtWlFGZU1mZ0p0OUlfa2IybFkxYzRTRU9KVEZ6bzVsYUxR0gGUAUFVX3lxTFBKYjQ0ZVlESXBaaEtLWmZiRzZVVXp6czVSQldBTlE3UFJCbDFQa1NVNTlwWEowNVBYRTNfSmFRcTRqSUV0aWdLVGZjVDAwMWJQVEJUTUZSNy1pZGNPRWZGQlJCMjZyb2dEdDY5bkRVMDdmMVY1cVR1N19aVy1zTzZsaUtpb2JxdlJRRHZGSUlHTGN4ZkI?oc=5,DW,2025-06-25
Will Serbia stick with Europe? Playing East against West is in its DNA - UnHerd,https://news.google.com/rss/articles/CBMiaEFVX3lxTE1KTjNZb2VCbXBrRlA4WUc5RkdmOG1uczJvU2kxSEZkM3pkR2Y3UnBMVm5nV2xIYTREZUJKdkV1ZENvN0xUbDBBUHoyTHhRaXFiS0YtcUxDcDlDZWlCeWNQdjRfZHBBNktH?oc=5,UnHerd,2025-08-22
What's Behind The Eruption Of Violence At Protests In Serbia? - Radio Free Europe/Radio Liberty,https://news.google.com/rss/articles/CBMib0FVX3lxTFA5dXlFNDNjOEhLUGZsdGJ6eDJKdXgtTWp5Z0FIR2cwVEtSWmRFNDVPb0ZXX2ZtVEVHaDl0MDF1eTVMTFFfbEt4LU1zbFN6SzdNYjVGUFNoMm9iX3hUaTZHMEJqQkZqTmU5MmFRVWhkRdIBckFVX3lxTE5SSzNySVI4M0NhRXZNb3dwenRnaVdBSEdHamRWQjVZMFAxN1Q0UVJhOEotOVk1Y0h5dWRrLVF4TW5DZDBJclktTm9NYUt6a3lFX1FJVDVqdUk0S0x4U0dVWndNeWotNHMyQTRGZC1HOVlpZw?oc=5,Radio Free Europe/Radio Liberty,2025-08-20
Rival protester groups clash anew in Serbia amid escalating political crisis - France 24,https://news.google.com/rss/articles/CBMivAFBVV95cUxPZkJFRXZoeW52Ty01aGEyZWNGUlpJUmR0YURJQ3JmVTZGWFJ0dzNOZkR1SFlDa1ZvMmNVSGNXSl9abzVOenQtdkRMSjVYX0NSanZIcllaSnRrQW9Cb1N1eGd1cEtIYVZ1T3laR1A0SVNKcUlHYTAxTG8yeWQxQ19WbGZSelk2LWJMaWpINUVIQUFhYTVOSEE0eXZqVmVnZ09rLThGYWE4aHRZZFhEWVh1Y0ZRQ040S3VPeVIzVQ?oc=5,France 24,2025-08-15
Protesters in Serbia's north demolish ruling party offices - Reuters,https://news.google.com/rss/articles/CBMinAFBVV95cUxQOXY0VDNCOEVLczNhRnV1MW41dENWRlFRT3dwdjY0cGp1bHJ4LWNrRDFiWEFXUkhXYmtST0dMSmYxZWNtYURWdkZubHVnekQxZVlrRVNnZDVjZTFTR0VhdjdiS250TG5fY1IyNVoyOHhGOGRkT0dEaHZITkFIWWNFT0tQZVJRT3N2d0dpejAwN3NrczJQYlpzVFFnaDM?oc=5,Reuters,2025-08-14
Serbia police arrest dozens of anti-government protesters - DW,https://news.google.com/rss/articles/CBMilAFBVV95cUxPUHFYU29GWGc2OW5BU3U1eTRaX3l1N2xvdDV5aUNrSWpnOVdDdmx1RmoyRy11RXpGcmpwSmJKSjhPeS10U2dia3dHeDhsWjdLVGQ0UHVySURScXcySy10UU5wOTJoMDlyemdLVzR5anFTem5URzE1ay1pdUlSc1NYQ1M1Unk4UVhsSDBXR3ZTLV9YS1pI0gGUAUFVX3lxTFAxLVNOdW01WWgxTHlIblNIQVA4Z3Z4bzhJN2JUUHdnNXppeDVoVXlJZVR0NEhLZktfeTlLWnFWVGt0TWpOaGVtV3BDRGN1VEpYTUVudHJtQnhNN0J5bXc1RllDVkVsVndacVhRWnk2Ni1oamZwcS1TVjk2SXdZNC1qUGI2UVVYUnBiZHRDZVlUSVByZEQ?oc=5,DW,2025-08-15
Serbia rocked by ongoing anti-government protests - DW,https://news.google.com/rss/articles/CBMihwFBVV95cUxQSDFEV2lhSXVOWXBHeVZJQVJfOUN2YnctX3BsNExEa0JhLUZWNkY2eVhyTDluMWxFTGx0Vm1kcWU1VUMzUzd0LXowZ1M5ajh2aDg3aVQ3RFVIbjY5NHdyUnRQT1BIeDg3UXVldHpMRFMzUGNWNVNhVmV6NGlaNFVtQWo2dFQtZEnSAYcBQVVfeXFMTVdRWUVMRVIxam5SY0JCc2lYXzBNcXNVLVpuQ1NmbDUzN0ZTVlEyZjJlZmZxdHZjYkV2RVJoYW9ZblZoVm9iRGRJVFdHdm9uU3IzY1g3SHJZenE4LVJkRlBGQXdxMXRQZ0dFVW9Tbms3eWVvUi1qTFktczZtTlR1RjR3bG1NTlJn?oc=5,DW,2025-08-19
Serbia’s student-led protesters wanted accountability. Now they’re calling for elections - France 24,https://news.google.com/rss/articles/CBMixwFBVV95cUxNZVNqQkp1NnFGVlpRNXhsel95eFVCbUR3VEtnWEx3TXhzdXhOal9CZWRTWjhJa3JjX3ItcjVhTFUxMy13Mk9mLUFnMHE3RU9qX0NlVzRUblJsU3I5aVI2U1Y1bzQ2UXJjZlJRalB5WUpEMTZQWUNyNm8wSjQzMDd2Z0VnU00yWnl1dUt1VjQwV09zU1RsNXdfdy1mLUtWSkYxSGhUbWpZWW5MaURyR3lERnNmNXVGaWZMby1hLXo4RzVFU1dZUGM0?oc=5,France 24,2025-08-15
Local election results deepen Serbia's political crisis - DW,https://news.google.com/rss/articles/CBMikAFBVV95cUxOUW5GdDFXQVZoWDU3UnF3ZTZaTzlZYUxhcnVIT3o0Z0dwVmFfTUVWRnREVVktanNud0JISVFzQXlkWEVLeWkzMzFlbmJwNUdJd1Nid3U3WW00QmRCUk9SYUJhSml1WTZUaldWZ3FaWUlGSk5SendUZExEeVhzR2dKeG5icWdUekt4WDV6cHA3djXSAZABQVVfeXFMUGJvS2RGX2syNDlXU0ZkRkJ1UjRGYlhrTXpYd3BDclg4eXBQRlNKV3dWSkt0eUJ5ejY2cl9tSy1SeFZ5UXhPV3Zsckp5YllJQVZIdVVJNGZEUDA3M2t4QWEyMzdHTXAyc2ZwRHQ1dlI3c0M3S3BzamMtYXlHQXFKMVd0NlExaUVVNXFIOEFOZEJB?oc=5,DW,2025-06-10
Violent clashes escalate at anti-government protests in Serbia - The Guardian,https://news.google.com/rss/articles/CBMisAFBVV95cUxPaUwzcG1HbnlPMWotWEx5dXFQTkMzT3R2ZVBRZExPS3UycVQ4MTZxbEdTRTFmTHVSV1U5Q2xITzZXREpCakJOVllxdGJNTWRVV19Gc0xqajJCLWtYeGxCV1pnTkpDZDQ5emstWVJtMVUxdTVsUlNNdGJOa1M2Vl9DUkpLOVM0YWdxTy1XYmlBMFB1NVZhOWJIYjBKNHp2VHJwWHY3MHUzSmZKMS1tM2NoMA?oc=5,The Guardian,2025-08-16
